# [Urea] 	 [D] 	 [I] 	 [N] 
6.5	0.9838546368566119	0.016050857890266296	9.450525289739914e-05
6.55	0.9858260318202255	0.014101284416563458	7.268376298102368e-05
6.6	0.9875584852031084	0.012385466353625462	5.604844302560677e-05
6.65	0.9890805581288963	0.01087608092116065	4.336094969324913e-05
6.7	0.990417487331275	0.009548834695982712	3.367797249629114e-05
6.75	0.9915915529769481	0.008382166740875328	2.628028193257611e-05
6.8	0.9926224134214691	0.007356971197046006	2.0615381243148008e-05
6.85	0.9935274156628563	0.0064563407477985155	1.6243589105581737e-05
6.9	0.9943218578630605	0.005665331158860514	1.2810977842674609e-05
6.95	0.9950191748999081	0.004970746530812338	1.0078569040674904e-05
7.0	0.9956311564478812	0.004360945293893406	7.898257981217172e-06
7.05	0.9961681705515427	0.003825665224994029	6.164223225746001e-06
7.1	0.9966393415297526	0.0033558662133502844	4.792256665019524e-06
7.15	0.9970526981820401	0.002943589269802225	3.7125479265645064e-06
7.2	0.997415301969143	0.0025818309256846845	2.8671049421420965e-06
7.25	0.997733360448826	0.002264431382935084	2.208168006826389e-06
7.3	0.9980123287432416	0.0019859746429629005	1.6966135593034285e-06
7.35	0.9982569984642377	0.001741700674220238	1.300861310990305e-06
7.4	0.9984715772300103	0.0015274271299416825	9.956398192913609e-07
7.45	0.998659758973508	0.001339480157174242	7.608690855100096e-07
7.5	0.9988247860075902	0.0011746332941887437	5.80697989270897e-07
7.55	0.9989695037384835	0.0010300535694878648	4.4269180241835627e-07
7.6	0.9990964086521112	0.0009032541755553459	3.3717210554690006e-07
7.65	0.99920769130767	0.00079205208924394	2.566028598887048e-07
7.7	0.9993052732634641	0.0006945315769628125	1.9515935022913796e-07
7.75	0.9993908401374444	0.0006090115130039614	1.483493237153029e-07
7.8	0.999465870406195	0.0005340168737928593	1.127197848190049e-07
7.85	0.9995316608852399	0.00046825349497807704	8.561954902427336e-08
7.9	0.9995893490215434	0.00041058596196751903	6.501625670576027e-08
7.95	0.9996399320633895	0.0003600185730517813	4.936332982447212e-08
